采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-18 11:05,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,15,5,23,7,275,88,Selling
2026-07-18 11:10,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,15,5,23,7,275,88,Selling
2026-07-18 11:15,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,284,15,426,22,1234,63,Selling
2026-07-18 11:20,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,284,15,426,22,1234,63,Selling
2026-07-18 11:25,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,525,11,848,18,3347,71,Selling
2026-07-18 11:30,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,525,11,848,18,3347,71,Selling
2026-07-18 11:35,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,525,11,848,18,3347,71,Selling
2026-07-18 11:40,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,832,13,1343,20,4403,67,Selling
2026-07-18 11:45,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1007,12,1628,19,6110,69,Selling
2026-07-18 11:50,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1007,12,1628,19,6110,69,Selling
2026-07-18 11:55,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1326,12,2106,19,7947,69,Selling
2026-07-18 12:00,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1326,12,2106,19,7947,69,Selling
2026-07-18 12:05,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1597,12,2603,20,8952,68,Selling
2026-07-18 12:10,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1597,12,2603,20,8952,68,Selling
2026-07-18 12:15,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1853,12,3008,19,10612,69,Selling
2026-07-18 12:20,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,1853,12,3008,19,10612,69,Selling
2026-07-18 12:25,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2115,12,3381,20,11675,68,Selling
2026-07-18 12:30,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2115,12,3381,20,11675,68,Selling
2026-07-18 12:35,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2115,12,3381,20,11675,68,Selling
2026-07-18 12:40,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2252,12,3611,19,13208,69,Selling
2026-07-18 12:45,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2553,12,4065,19,14954,69,Selling
2026-07-18 12:50,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2553,12,4065,19,14954,69,Selling
2026-07-18 12:55,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2843,12,4521,19,16244,69,Selling
2026-07-18 13:00,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,2843,12,4521,19,16244,69,Selling
2026-07-18 13:05,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3074,12,4907,19,17561,69,Selling
2026-07-18 13:10,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3074,12,4907,19,17561,69,Selling
2026-07-18 13:15,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3219,12,5146,19,19032,69,Selling
2026-07-18 13:20,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3219,12,5146,19,19032,69,Selling
2026-07-18 13:25,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3429,12,5432,19,20169,69,Selling
2026-07-18 13:30,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3429,12,5432,19,20169,69,Selling
2026-07-18 13:35,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3701,12,5864,19,21860,69,Selling
2026-07-18 13:40,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3701,12,5864,19,21860,69,Selling
2026-07-18 13:45,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3996,12,6302,19,23154,69,Selling
2026-07-18 13:50,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3996,12,6302,19,23154,69,Selling
2026-07-18 13:55,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,3996,12,6302,19,23154,69,Selling
2026-07-18 14:00,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4236,12,6720,19,24611,69,Selling
2026-07-18 14:05,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4382,12,6992,19,26209,69,Selling
2026-07-18 14:10,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4382,12,6992,19,26209,69,Selling
2026-07-18 14:15,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4581,12,7353,19,27351,69,Selling
2026-07-18 14:20,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4581,12,7353,19,27351,69,Selling
2026-07-18 14:25,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4581,12,7353,19,27351,69,Selling
2026-07-18 14:30,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,4853,12,7847,19,29036,69,Selling
2026-07-18 14:35,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5165,12,8341,19,30244,69,Selling
2026-07-18 14:40,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5165,12,8341,19,30244,69,Selling
2026-07-18 14:45,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5377,12,8687,19,31785,69,Selling
2026-07-18 14:50,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5377,12,8687,19,31785,69,Selling
2026-07-18 14:55,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5628,12,9217,19,33268,69,Selling
2026-07-18 15:00,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5628,12,9217,19,33268,69,Selling
2026-07-18 15:05,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5792,12,9489,19,34409,69,Selling
2026-07-18 15:10,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,5792,12,9489,19,34409,69,Selling
2026-07-18 15:15,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6158,12,10139,19,36028,69,Selling
2026-07-18 15:20,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6158,12,10139,19,36028,69,Selling
2026-07-18 15:25,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6385,12,10575,19,38024,69,Selling
2026-07-18 15:30,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6385,12,10575,19,38024,69,Selling
2026-07-18 15:35,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6657,12,11082,19,39547,69,Selling
2026-07-18 15:40,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6657,12,11082,19,39547,69,Selling
2026-07-18 15:45,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6914,12,11554,19,41368,69,Selling
2026-07-18 15:50,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6914,12,11554,19,41368,69,Selling
2026-07-18 15:55,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,6914,12,11554,19,41368,69,Selling
2026-07-18 16:00,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,7131,12,11949,19,42375,69,Selling
2026-07-18 16:05,周六209,挪威超级联赛,2026-07-18,2026-07-18,斯达,罗森博格,2040554,7453,12,12474,19,44399,69,Selling
